"GEO_ID","id"
"NAME","Geographic Area Name"
"GEO_ID_F","Geo Footnote"
"NAICS2017","2017 NAICS code"
"NAICS2017_F","2017 NAICS Footnote"
"NAICS2017_LABEL","Meaning of NAICS code"
"LFO","Legal form of organization code"
"LFO_LABEL","Meaning of Legal form of organization code"
"EMPSZES","Employment size of establishments code"
"EMPSZES_LABEL","Meaning of Employment size of establishments"
"YEAR","Year"
"ESTAB","Number of establishments"
"PAYANN","Annual payroll ($1,000)"
"PAYANN_N","Noise range for annual payroll"
"PAYQTR1","First-quarter payroll ($1,000)"
"PAYQTR1_N","Noise range for first-quarter payroll"
"EMP","Number of employees"
"EMP_N","Noise range for number of employees"
